FOLIO_I,FOLIO_INT,entidad,desc_ent,municipio,desc_mun,id_tortillas,tortillas,pa1_t,pa4_t,ponde_f,estrato,est_sel,upm,completa,region
2022_01009030,2022_01009030_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,160,Tortillas de maiz de masa (comprada) o de tortillería,5,5,15083.0066282618,1,11,010090000002A,1,4
2022_01009030,2022_01009030_01,01,01 AGUASCALIENTES,009,009 TEPEZALÁ,161,Tortillas de harina de trigo,9, ,15083.0066282618,1,11,010090000002A,1,4
2022_02001003,2022_02001003_04,02,02 BAJA CALIFORNIA,001,001 ENSENADA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,215463.117866307,3,23,0200100017377,1,1
2022_02001003,2022_02001003_04,02,02 BAJA CALIFORNIA,001,001 ENSENADA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,215463.117866307,3,23,0200100017377,1,1
2022_02001003,2022_02001003_04,02,02 BAJA CALIFORNIA,001,001 ENSENADA,160,Tortillas de maiz de masa (comprada) o de tortillería,1,4,215463.117866307,3,23,0200100017377,1,1
2022_02001003,2022_02001003_04,02,02 BAJA CALIFORNIA,001,001 ENSENADA,161,Tortillas de harina de trigo,9, ,215463.117866307,3,23,0200100017377,1,1
2022_02001039,2022_02001039_02,02,02 BAJA CALIFORNIA,001,001 ENSENADA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,58679.3172061432,3,23,0200100018445,1,1
2022_02001039,2022_02001039_02,02,02 BAJA CALIFORNIA,001,001 ENSENADA,159,Tortillas de maiz de harina MASECA o MINSA (hecha en casa),9, ,58679.3172061432,3,23,0200100018445,1,1
2022_02001039,2022_02001039_02,02,02 BAJA CALIFORNIA,001,001 ENSENADA,160,Tortillas de maiz de masa (comprada) o de tortillería,7,1,58679.3172061432,3,23,0200100018445,1,1
2022_02001039,2022_02001039_02,02,02 BAJA CALIFORNIA,001,001 ENSENADA,161,Tortillas de harina de trigo,9, ,58679.3172061432,3,23,0200100018445,1,1
2022_02001046,2022_02001046_02,02,02 BAJA CALIFORNIA,001,001 ENSENADA,158,Tortillas de maiz de nixtamal (hecho en casa),9, ,58785.4248967553,3,23,0200100018445,1,1
